English	English Meaning	English Example	Spanish	Pronunciation Hint	Spanish Meaning	Spanish Example	Spanish Meaning (English)	Spanish Example (English)	Spanish Article	Spanish Gender	Spanish Number	Spanish Part of Speech	Spanish Forms	Notes	Status	Source Deck	Source Card	Tags
cube			el cubo	el KU-bo	Figura geométrica de seis caras iguales.	El cubo tiene doce aristas.	Geometric figure with six equal faces.	The cube has twelve edges.	el	masculine	singular	noun	singular: el cubo; plural: los cubos		reviewed	4000 Essential English Words::Extra	2_11	spanish from_4000_english 4000_essential_english_words_extra reviewed
cylinder			el cilindro	el si-LIN-dro	Figura con base redonda y caras curvas laterales.	El vaso es un cilindro.	Figure with round base and curved side faces.	The glass is a cylinder.	el	masculine	singular	noun	singular: el cilindro; plural: los cilindros		reviewed	4000 Essential English Words::Extra	2_12	spanish from_4000_english 4000_essential_english_words_extra reviewed
dress			el vestido	el bes-TI-do	Prenda femenina larga o corta que cubre el torso.	Ella llevó un vestido azul.	Long or short feminine garment that covers the torso.	She wore a blue dress.	el	masculine	singular	noun	singular: el vestido; plural: los vestidos		reviewed	4000 Essential English Words::Extra	2_13	spanish from_4000_english 4000_essential_english_words_extra reviewed
earrings			los pendientes	los pen-DIEN-tes	Joyas que se cuelgan de la oreja.	Sus pendientes brillaban al sol.	Jewelry that hangs from the ear.	Her earrings sparkled in the sun.	los	masculine	plural	noun	singular: el pendient; plural: los pendientes		reviewed	4000 Essential English Words::Extra	2_14	spanish from_4000_english 4000_essential_english_words_extra reviewed
gloves			los guantes	los GUAN-tes	Prenda para cubrir las manos.	Necesito guantes para este día frío.	Garment to cover the hands.	I need gloves for this cold day.	los	masculine	plural	noun	singular: el guant; plural: los guantes		reviewed	4000 Essential English Words::Extra	2_15	spanish from_4000_english 4000_essential_english_words_extra reviewed
hat			el sombrero	el som-BRE-ro	Prenda para la cabeza.	Me puse el sombrero antes de salir.	Headwear.	I put on my hat before leaving.	el	masculine	singular	noun	singular: el sombrero; plural: los sombreros		reviewed	4000 Essential English Words::Extra	2_16	spanish from_4000_english 4000_essential_english_words_extra reviewed
jacket			la chaqueta	la ça-KE-ta	Prenda corta con mangas para abrigo ligero.	La chaqueta va sobre la camisa.	Short garment with sleeves for light warmth.	The jacket goes over the shirt.	la	feminine	singular	noun	singular: la chaqueta; plural: las chaquetas		reviewed	4000 Essential English Words::Extra	2_17	spanish from_4000_english 4000_essential_english_words_extra reviewed
jeans			los vaqueros	los ba-KE-ros	Pantalones de tela de mezclilla.	Compré unos vaqueros nuevos.	Denim fabric pants.	I bought some new jeans.	los	masculine	plural	noun	singular: el vaquero; plural: los vaqueros		reviewed	4000 Essential English Words::Extra	2_18	spanish from_4000_english 4000_essential_english_words_extra reviewed
mittens			los guantes	los GUAN-tes	Guantes cerrados para cubrir toda la mano.	Me puse los guantes para no congelarme.	Closed gloves to cover the entire hand.	I put on gloves so I wouldn't freeze.	los	masculine	plural	noun	singular: el guant; plural: los guantes		reviewed	4000 Essential English Words::Extra	2_19	spanish from_4000_english 4000_essential_english_words_extra reviewed
necklace			el collar	el kol-LAR	Cadena para llevar adornos al cuello.	El collar tenía un dije dorado.	Chain to wear decorations around the neck.	The necklace had a gold pendant.	el	masculine	singular	noun	singular: el collar; plural: los collares		reviewed	4000 Essential English Words::Extra	2_20	spanish from_4000_english 4000_essential_english_words_extra reviewed
oval			el óvalo	el O-ba-lo	Figura redondeada alargada.	La marca es un óvalo amarillo.	Elongated rounded figure.	The mark is a yellow oval.	el	masculine	singular	noun	singular: el óvalo; plural: los óvalos		reviewed	4000 Essential English Words::Extra	2_21	spanish from_4000_english 4000_essential_english_words_extra reviewed
overalls			los overoles	los o-be-RO-les	Prenda de una pieza con tirantes para cubrir el cuerpo.	Pintó toda la casa con sus overoles sucios.	One-piece garment with straps to cover the body.	He painted the whole house with his dirty overalls.	los	masculine	plural	noun	singular: el overol; plural: los overoles		reviewed	4000 Essential English Words::Extra	2_22	spanish from_4000_english 4000_essential_english_words_extra reviewed
pajamas			el pijama	el pi-HA-ma	Conjunto cómodo para dormir.	Me quité el pijama antes de acostarme.	Comfortable sleeping set.	I took off my pajamas before going to bed.	el	masculine	singular	noun	singular: el pijama; plural: los pijamas		reviewed	4000 Essential English Words::Extra	2_23	spanish from_4000_english 4000_essential_english_words_extra reviewed
pants			los pantalones	los pan-ta-LO-nes	Prenda para vestir la parte inferior del cuerpo.	Estos pantalones son cómodos.	Garment to dress the lower part of the body.	These pants are comfortable.	los	masculine	plural	noun	singular: el pantalon; plural: los pantalones		reviewed	4000 Essential English Words::Extra	2_24	spanish from_4000_english 4000_essential_english_words_extra reviewed
prism			el prisma	el PRIS-ma	Cuerpo con dos bases poligonales iguales.	El prisma refleja la luz.	Body with two equal polygonal bases.	The prism reflects the light.	el	masculine	singular	noun	singular: el prisma; plural: los prismas		reviewed	4000 Essential English Words::Extra	2_25	spanish from_4000_english 4000_essential_english_words_extra reviewed
pyramid			la pirámide	la pi-RA-mi-de	Figura de base cuadrada y lados triangulares.	La pirámide de Egipto es famosa.	Figure with a square base and triangular sides.	The Egyptian pyramid is famous.	la	feminine	singular	noun	singular: la pirámide; plural: las pirámides		reviewed	4000 Essential English Words::Extra	2_26	spanish from_4000_english 4000_essential_english_words_extra reviewed
rectangle			el rectángulo	el re-KTAN-gu-lo	Figura con cuatro ángulos rectos.	Un rectángulo tiene dos lados largos.	Figure with four right angles.	A rectangle has two long sides.	el	masculine	singular	noun	singular: el rectángulo; plural: los rectángulos		reviewed	4000 Essential English Words::Extra	2_27	spanish from_4000_english 4000_essential_english_words_extra reviewed
ring			el anillo	el a-NIL-lo	Objeto circular que se coloca en un dedo.	Compró un anillo de boda.	Circular object that is placed on a finger.	Bought a wedding ring.	el	masculine	singular	noun	singular: el anillo; plural: los anillos		reviewed	4000 Essential English Words::Extra	2_28	spanish from_4000_english 4000_essential_english_words_extra reviewed
scarf			la bufanda	la bu-FAN-da	Prenda para cubrir el cuello.	Me puse una bufanda para el frío.	Garment to cover the neck.	I put on a scarf for the cold.	la	feminine	singular	noun	singular: la bufanda; plural: las bufandas		reviewed	4000 Essential English Words::Extra	2_29	spanish from_4000_english 4000_essential_english_words_extra reviewed
semi-circle			el semicírculo	el se-mi-SIR-ku-lo	Mitad de un círculo.	Dibujó un semicírculo perfecto.	Half of a circle.	He drew a perfect semicircle.	el	masculine	singular	noun	singular: el semicírculo; plural: los semicírculos		reviewed	4000 Essential English Words::Extra	2_30	spanish from_4000_english 4000_essential_english_words_extra reviewed
shirt			la camisa	la ka-MI-sa	Prenda básica de vestir para la parte superior del torso.	La camisa es de algodón.	Basic clothing for the upper part of the torso.	The shirt is cotton.	la	feminine	singular	noun	singular: la camisa; plural: las camisas		reviewed	4000 Essential English Words::Extra	2_31	spanish from_4000_english 4000_essential_english_words_extra reviewed
shoes			los zapatos	los sa-PA-tos	Calzado para proteger los pies.	Guardó sus zapatos junto a la puerta.	Footwear to protect the feet.	He kept his shoes by the door.	los	masculine	plural	noun	singular: el zapato; plural: los zapatos		reviewed	4000 Essential English Words::Extra	2_32	spanish from_4000_english 4000_essential_english_words_extra reviewed
shorts			los pantalones cortos	los pan-ta-LO-nes KOR-tos	Pantalones más cortos para el verano.	Mis pantalones cortos son cómodos.	Shorter pants for summer.	My shorts are comfortable.	los	masculine	plural	noun	singular: el pantalon; plural: los pantalones		reviewed	4000 Essential English Words::Extra	2_33	spanish from_4000_english 4000_essential_english_words_extra reviewed
skirt			la falda	la FAL-da	Prenda femenina que cubre la cintura y las piernas.	Llevaba una falda negra.	Feminine garment that covers the waist and legs.	She was wearing a black skirt.	la	feminine	singular	noun	singular: la falda; plural: las faldas		reviewed	4000 Essential English Words::Extra	2_34	spanish from_4000_english 4000_essential_english_words_extra reviewed
slippers			las pantuflas	las pan-TU-flas	Calzado blando para usar en casa.	Me cambié a las pantuflas.	Soft footwear to wear at home.	I changed into slippers.	las	feminine	plural	noun	singular: la pantufla; plural: las pantuflas		reviewed	4000 Essential English Words::Extra	2_35	spanish from_4000_english 4000_essential_english_words_extra reviewed
sneakers			las zapatillas	las sa-pa-TIL-las	Calzado deportivo con suela de goma.	Uso zapatillas para correr.	Sports shoes with rubber soles.	I wear running shoes.	las	feminine	plural	noun	singular: la zapatilla; plural: las zapatillas		reviewed	4000 Essential English Words::Extra	2_36	spanish from_4000_english 4000_essential_english_words_extra reviewed
socks			los calcetines	los kal-se-TI-nes	Prenda de media para cubrir los pies.	Compré calcetines de lana.	Stocking garment to cover the feet.	I bought wool socks.	los	masculine	plural	noun	singular: el calcetin; plural: los calcetines		reviewed	4000 Essential English Words::Extra	2_37	spanish from_4000_english 4000_essential_english_words_extra reviewed
sphere			la esfera	la es-FE-ra	Cuerpo geométrico redondo en 3D.	La pelota es una esfera.	3D round geometric body.	The ball is a sphere.	la	feminine	singular	noun	singular: la esfera; plural: las esferas		reviewed	4000 Essential English Words::Extra	2_38	spanish from_4000_english 4000_essential_english_words_extra reviewed
square			el cuadrado	el kuad-RA-do	Figura con lados rectos y ángulos de 90°.	El cuadrado tiene cuatro lados.	Figure with straight sides and 90° angles.	The square has four sides.	el	masculine	singular	noun	singular: el cuadrado; plural: los cuadrados		reviewed	4000 Essential English Words::Extra	2_39	spanish from_4000_english 4000_essential_english_words_extra reviewed
suit			el traje	el TRA-he	Conjunto formal de chaqueta y pantalón.	Llevó un traje oscuro.	Formal jacket and pants set.	He wore a dark suit.	el	masculine	singular	noun	singular: el traje; plural: los trajes		reviewed	4000 Essential English Words::Extra	2_40	spanish from_4000_english 4000_essential_english_words_extra reviewed
sunglasses			las gafas de sol	las GA-fas DE SOL	Gafas para proteger los ojos del sol.	Compró gafas de sol en la playa.	Glasses to protect your eyes from the sun.	He bought sunglasses on the beach.	las	feminine	plural	noun	singular: la gafa; plural: las gafas		reviewed	4000 Essential English Words::Extra	2_41	spanish from_4000_english 4000_essential_english_words_extra reviewed
sweater			el suéter	el SUE-ter	Prenda de punto para el torso.	Compré un suéter gris.	Knitted garment for the torso.	I bought a gray sweater.	el	masculine	singular	noun	singular: el suéter; plural: los sueteres		reviewed	4000 Essential English Words::Extra	2_42	spanish from_4000_english 4000_essential_english_words_extra reviewed
sweatshirt			la sudadera	la su-da-DE-ra	Prenda de algodón o jersey con mangas.	La sudadera nueva es cómoda.	Cotton or jersey garment with sleeves.	The new sweatshirt is comfortable.	la	feminine	singular	noun	singular: la sudadera; plural: las sudaderas		reviewed	4000 Essential English Words::Extra	2_43	spanish from_4000_english 4000_essential_english_words_extra reviewed
swimsuit			el traje de baño	el TRA-he DE BA-nyo	Prenda para nadar.	Guardó su traje de baño en la bolsa.	Swimwear.	She put her swimsuit in the bag.	el	masculine	singular	noun	singular: el traje; plural: los trajes		reviewed	4000 Essential English Words::Extra	2_44	spanish from_4000_english 4000_essential_english_words_extra reviewed
tie			la corbata	la kor-BA-ta	Tira de tela para el cuello.	La corbata combina con su camisa.	Strip of fabric for the neck.	The tie matches his shirt.	la	feminine	singular	noun	singular: la corbata; plural: las corbatas		reviewed	4000 Essential English Words::Extra	2_45	spanish from_4000_english 4000_essential_english_words_extra reviewed
triangle			el triángulo	el TRIAN-gu-lo	Figura geométrica con tres lados.	Construyeron un triángulo con palitos.	Geometric figure with three sides.	They built a triangle with sticks.	el	masculine	singular	noun	singular: el triángulo; plural: los triángulos		reviewed	4000 Essential English Words::Extra	2_46	spanish from_4000_english 4000_essential_english_words_extra reviewed
T-shirt			la camiseta	la ka-mi-SE-ta	Prenda de manga corta y cuello redondo.	Compré una camiseta blanca.	Short sleeve and round neck garment.	I bought a white t-shirt.	la	feminine	singular	noun	singular: la camiseta; plural: las camisetas		reviewed	4000 Essential English Words::Extra	2_47	spanish from_4000_english 4000_essential_english_words_extra reviewed
tuxedo			el esmoquin	el es-MO-kin	Traje formal de etiqueta.	Ella alquiló un esmoquin para la boda.	Formal dress suit.	She rented a tuxedo for the wedding.	el	masculine	singular	noun	singular: el esmoquin; plural: los esmoquines		reviewed	4000 Essential English Words::Extra	2_48	spanish from_4000_english 4000_essential_english_words_extra reviewed
umbrella			el paraguas	el pa-RA-guas	Objeto para protegerse de la lluvia.	Abrió el paraguas en la tormenta.	Object to protect from rain.	He opened the umbrella in the storm.	el	masculine	singular	noun	singular: el paraguas; plural: los paraguas		reviewed	4000 Essential English Words::Extra	2_49	spanish from_4000_english 4000_essential_english_words_extra reviewed
underpants			los calzoncillos	los kal-son-SIL-los	Prenda interior para cubrir la zona baja del cuerpo.	Los calzoncillos deben cambiarse con frecuencia.	Undergarment to cover the lower area of the body.	Underpants should be changed frequently.	los	masculine	plural	noun	singular: el calzoncillo; plural: los calzoncillos		reviewed	4000 Essential English Words::Extra	2_50	spanish from_4000_english 4000_essential_english_words_extra reviewed
undershirt			la camiseta interior	la ka-mi-SE-ta in-te-RIOR	Prenda delgada debajo de otra ropa.	Me puse la camiseta interior.	Thin garment under other clothing.	I put on my undershirt.	la	feminine	singular	noun	singular: la camiseta; plural: las camisetas		reviewed	4000 Essential English Words::Extra	2_51	spanish from_4000_english 4000_essential_english_words_extra reviewed
vest			el chaleco	el ça-LE-ko	Prenda sin mangas para el cuerpo superior.	Añadió un chaleco al atuendo.	Sleeveless garment for the upper body.	He added a vest to the outfit.	el	masculine	singular	noun	singular: el chaleco; plural: los chalecos		reviewed	4000 Essential English Words::Extra	2_52	spanish from_4000_english 4000_essential_english_words_extra reviewed
rainboots			las botas de lluvia	las BO-tas DE YU-bia	Botas impermeables para caminar en lluvia.	Salimos con las botas de lluvia.	Waterproof boots for walking in the rain.	We went out with rain boots.	las	feminine	plural	noun	singular: la bota; plural: las botas		reviewed	4000 Essential English Words::Extra	2_53	spanish from_4000_english 4000_essential_english_words_extra reviewed
raincoat			el impermeable	el im-per-MEA-ble	Abrigo externo que protege del agua.	El impermeable me secó la lluvia.	External coat that protects from water.	The raincoat dried off the rain.	el	masculine	singular	noun	singular: el impermeable; plural: los impermeables		reviewed	4000 Essential English Words::Extra	2_54	spanish from_4000_english 4000_essential_english_words_extra reviewed
basketball			el baloncesto	el ba-lon-SES-to	Deporte de lanzar balón a una canasta.	Jugamos baloncesto los sábados.	Sport of throwing a ball into a basket.	We play basketball on Saturdays.	el	masculine	singular	noun	singular: el baloncesto; plural: los baloncestos		reviewed	4000 Essential English Words::Extra	3_1	spanish from_4000_english 4000_essential_english_words_extra reviewed
boxing			el boxeo	el BO-xeo	Deporte de combate con puñetazos.	Le gusta entrenar boxeo.	Combat sport with punches.	He likes to train boxing.	el	masculine	singular	noun	singular: el boxeo; plural: los boxeos		reviewed	4000 Essential English Words::Extra	3_2	spanish from_4000_english 4000_essential_english_words_extra reviewed
wrestling			la lucha libre	la LU-ça LI-bre	Deporte de combate en el suelo.	Vi un combate de lucha libre.	Combat sport on the ground.	I saw a wrestling match.	la	feminine	singular	noun	singular: la lucha; plural: las luchas		reviewed	4000 Essential English Words::Extra	3_3	spanish from_4000_english 4000_essential_english_words_extra reviewed
yoga			el yoga	el YO-ga	Práctica física y mental con posturas y respiración.	Hago yoga por la mañana.	Physical and mental practice with postures and breathing.	I do yoga in the morning.	el	masculine	singular	noun	singular: el yoga; plural: los yogas		reviewed	4000 Essential English Words::Extra	3_4	spanish from_4000_english 4000_essential_english_words_extra reviewed
archery			el tiro con arco	el TI-ro KON AR-ko	Deporte de lanzar flechas con arco.	Practica tiro con arco en el club.	Sport of shooting arrows with a bow.	Practice archery at the club.	el	masculine	singular	noun	singular: el tiro; plural: los tiros		reviewed	4000 Essential English Words::Extra	3_5	spanish from_4000_english 4000_essential_english_words_extra reviewed
baseball			el béisbol	el BEIS-bol	Deporte con bate y pelota.	Jugamos béisbol en el parque.	Sport with bat and ball.	We played baseball in the park.	el	masculine	singular	noun	singular: el béisbol; plural: los beisboles		reviewed	4000 Essential English Words::Extra	3_6	spanish from_4000_english 4000_essential_english_words_extra reviewed
soccer			el fútbol	el FU-tbol	Deporte en equipo que se juega con los pies.	El equipo ganó el partido de fútbol.	Team sport that is played with the feet.	The team won the soccer game.	el	masculine	singular	noun	singular: el fútbol; plural: los futboles		reviewed	4000 Essential English Words::Extra	3_7	spanish from_4000_english 4000_essential_english_words_extra reviewed
tennis			el tenis	el TE-nis	Deporte de raqueta con pelota.	Mañana jugaremos al tenis.	Racket sport with ball.	Tomorrow we will play tennis.	el	masculine	singular	noun	singular: el tenis; plural: los tenis		reviewed	4000 Essential English Words::Extra	3_8	spanish from_4000_english 4000_essential_english_words_extra reviewed
volleyball			el voleibol	el bo-lei-BOL	Deporte en cancha con red y toque de pelota.	Ella juega voleibol en la universidad.	Sports on the court with net and touch of the ball.	She plays volleyball in college.	el	masculine	singular	noun	singular: el voleibol; plural: los voleiboles		reviewed	4000 Essential English Words::Extra	3_9	spanish from_4000_english 4000_essential_english_words_extra reviewed
skiing			el esquí	el es-KI	Deporte sobre nieve con tablas largas.	Fuimos de esquí al fin de semana.	Snow sport with long boards.	We went skiing at the weekend.	el	masculine	singular	noun	singular: el esquí; plural: los esquís		reviewed	4000 Essential English Words::Extra	3_10	spanish from_4000_english 4000_essential_english_words_extra reviewed
snowboarding			el snowboard	el sno-wboar-D	Deporte de deslizarse con tabla sobre nieve.	Probó el snowboard en la montaña.	Sport of sliding with a board on snow.	He tried snowboarding in the mountains.	el	masculine	singular	noun	singular: el snowboard; plural: los snowboardes		reviewed	4000 Essential English Words::Extra	3_11	spanish from_4000_english 4000_essential_english_words_extra reviewed
camel			el camello	el ka-MEL-lo	Mamífero de gran joroba del desierto.	El camello camina largo tiempo en arena.	Large-humped desert mammal.	The camel walks for a long time in the sand.	el	masculine	singular	noun	singular: el camello; plural: los camellos		reviewed	4000 Essential English Words::Extra	3_12	spanish from_4000_english 4000_essential_english_words_extra reviewed
coyote			el coyote	el ko-YO-te	Mamífero canino de Norteamérica.	El coyote apareció cerca de la pradera.	North American canine mammal.	The coyote appeared near the meadow.	el	masculine	singular	noun	singular: el coyote; plural: los coyotes		reviewed	4000 Essential English Words::Extra	3_13	spanish from_4000_english 4000_essential_english_words_extra reviewed
lizard			el lagarto	el la-GAR-to	Reptil de cuerpo alargado.	Vimos un lagarto en el jardín.	Reptile with an elongated body.	We saw a lizard in the garden.	el	masculine	singular	noun	singular: el lagarto; plural: los lagartos		reviewed	4000 Essential English Words::Extra	3_14	spanish from_4000_english 4000_essential_english_words_extra reviewed
mountain lion			el puma	el PU-ma	Gran felino de montañas y bosques.	El puma acecha al atardecer.	Large feline of mountains and forests.	The puma stalks at dusk.	el	masculine	singular	noun	singular: el puma; plural: los pumas		reviewed	4000 Essential English Words::Extra	3_15	spanish from_4000_english 4000_essential_english_words_extra reviewed
scorpion			el escorpión	el es-kor-PION	Arácnido venenoso de cola puntiaguda.	El escorpión salió de debajo de la roca.	Venomous pointed-tailed arachnid.	The scorpion came out from under the rock.	el	masculine	singular	noun	singular: el escorpión; plural: los escorpiones		reviewed	4000 Essential English Words::Extra	3_16	spanish from_4000_english 4000_essential_english_words_extra reviewed
flamingo			el flamenco	el fla-MEN-ko	Ave rosada de patas largas.	Los flamencos se ven en el humedal.	Long-legged pink bird.	Flamingos are seen in the wetland.	el	masculine	singular	noun	singular: el flamenco; plural: los flamencos		reviewed	4000 Essential English Words::Extra	3_17	spanish from_4000_english 4000_essential_english_words_extra reviewed
hummingbird			el colibrí	el ko-li-BRI	Ave pequeña que vuela suspendida.	El colibrí bebía néctar de la flor.	Small bird that flies suspended.	The hummingbird drank nectar from the flower.	el	masculine	singular	noun	singular: el colibrí; plural: los colibrís		reviewed	4000 Essential English Words::Extra	3_18	spanish from_4000_english 4000_essential_english_words_extra reviewed
panther			la pantera	la pan-TE-ra	Felino oscuro de grandes garras.	La pantera aparece en el documental.	Dark feline with large claws.	The panther appears in the documentary.	la	feminine	singular	noun	singular: la pantera; plural: las panteras		reviewed	4000 Essential English Words::Extra	3_19	spanish from_4000_english 4000_essential_english_words_extra reviewed
parrot			el loro	el LO-ro	Ave que puede imitar sonidos.	El loro repitió mi frase.	Bird that can imitate sounds.	The parrot repeated my phrase.	el	masculine	singular	noun	singular: el loro; plural: los loros		reviewed	4000 Essential English Words::Extra	3_20	spanish from_4000_english 4000_essential_english_words_extra reviewed
giraffe			la jirafa	la hi-RA-fa	Mamífero alto con largo cuello.	La jirafa alcanza las hojas altas.	Tall mammal with long neck.	The giraffe reaches for the high leaves.	la	feminine	singular	noun	singular: la jirafa; plural: las jirafas		reviewed	4000 Essential English Words::Extra	3_21	spanish from_4000_english 4000_essential_english_words_extra reviewed
hippopotamus			el hipopótamo	el i-po-PO-ta-mo	Mamífero pesado que vive cerca del agua.	El hipopótamo vive en África.	Heavy mammal that lives near water.	The hippopotamus lives in Africa.	el	masculine	singular	noun	singular: el hipopótamo; plural: los hipopótamos		reviewed	4000 Essential English Words::Extra	3_22	spanish from_4000_english 4000_essential_english_words_extra reviewed
hyena			la hiena	la IE-na	Mamífero carnívoro con fama de risa.	La hiena cazaba con su manada.	Carnivorous mammal with a reputation for laughing.	The hyena hunted with his pack.	la	feminine	singular	noun	singular: la hiena; plural: las hienas		reviewed	4000 Essential English Words::Extra	3_23	spanish from_4000_english 4000_essential_english_words_extra reviewed
ostrich			el avestruz	el a-bes-tru-S	Ave grande que no vuela.	Vimos un avestruz en la reserva.	Large flightless bird.	We saw an ostrich in the reserve.	el	masculine	singular	noun	singular: el avestruz; plural: los avestruces		reviewed	4000 Essential English Words::Extra	3_24	spanish from_4000_english 4000_essential_english_words_extra reviewed
rhinoceros			el rinoceronte	el ri-no-se-RON-te	Mamífero grande con cuerno en el hocico.	El rinoceronte puede ser muy peligroso.	Large mammal with horn on its snout.	The rhino can be very dangerous.	el	masculine	singular	noun	singular: el rinoceronte; plural: los rinocerontes		reviewed	4000 Essential English Words::Extra	3_25	spanish from_4000_english 4000_essential_english_words_extra reviewed
otter			la nutria	la NU-tria	Mamífero acuático que vive en ríos.	La nutria se alimenta de peces.	Aquatic mammal that lives in rivers.	The otter feeds on fish.	la	feminine	singular	noun	singular: la nutria; plural: las nutrias		reviewed	4000 Essential English Words::Extra	3_26	spanish from_4000_english 4000_essential_english_words_extra reviewed
penguin			el pingüino	el pin-GI-no	Ave marina que no vuela y nada.	Los pingüinos viven en el sur.	Sea bird that flies and swims.	Penguins live in the south.	el	masculine	singular	noun	singular: el pingüino; plural: los pingüinos		reviewed	4000 Essential English Words::Extra	3_27	spanish from_4000_english 4000_essential_english_words_extra reviewed
polar bear			el oso polar	el O-so po-LAR	Gran oso blanco de zonas heladas.	El oso polar nada en aguas árticas.	Great white bear from frozen areas.	The polar bear swims in arctic waters.	el	masculine	singular	noun	singular: el oso; plural: los osos		reviewed	4000 Essential English Words::Extra	3_28	spanish from_4000_english 4000_essential_english_words_extra reviewed
reindeer			el reno	el RE-no	Ciervo de regiones frías con cuernas.	El reno arrastra el trineo.	Deer from cold regions with antlers.	The reindeer drags the sleigh.	el	masculine	singular	noun	singular: el reno; plural: los renos		reviewed	4000 Essential English Words::Extra	3_29	spanish from_4000_english 4000_essential_english_words_extra reviewed
seal			la foca	la FO-ka	Mamífero marino de aletas.	La foca salta en la nieve.	Fined marine mammal.	The seal jumps in the snow.	la	feminine	singular	noun	singular: la foca; plural: las focas		reviewed	4000 Essential English Words::Extra	3_30	spanish from_4000_english 4000_essential_english_words_extra reviewed
wolf			el lobo	el LO-bo	Canino salvaje social.	El lobo aúlla por la noche.	Social wild canine.	The wolf howls at night.	el	masculine	singular	noun	singular: el lobo; plural: los lobos		reviewed	4000 Essential English Words::Extra	3_31	spanish from_4000_english 4000_essential_english_words_extra reviewed
blowfish			el pez globo	el pe-S GLO-bo	Pez que se infla para defenderse.	El pez globo es peligroso al cocinarlo.	Fish that inflates itself to defend itself.	Pufferfish are dangerous to cook.	el	masculine	singular	noun	singular: el pez; plural: los peces		reviewed	4000 Essential English Words::Extra	3_32	spanish from_4000_english 4000_essential_english_words_extra reviewed
octopus			el pulpo	el PUL-po	Molusco marino con ocho tentáculos.	El pulpo cambia de color.	Marine mollusk with eight tentacles.	The octopus changes color.	el	masculine	singular	noun	singular: el pulpo; plural: los pulpos		reviewed	4000 Essential English Words::Extra	3_33	spanish from_4000_english 4000_essential_english_words_extra reviewed
